,feat,classifier,filter,f1_mean,f1_std,bcc_mean,bcc_std,auc_mean,auc_std
0,CLIP,SVC,pmap,0.7378666666666667,0.0031999999999999806,0.7378666666666667,0.003200000000000036,0.9496128711111111,0.0004782855555555132
1,CLIP,SVC,matthias,0.4266,0.002533333333333332,0.4266000000000001,0.0025333333333333596,0.8115605611111112,0.0009932522222221851
2,CLIP,SVC,gaussian,0.35986666666666667,0.001333333333333353,0.35986666666666667,0.0013333333333333253,0.7654892888888888,0.00025407111111108716
3,CLIP,SVC,access,0.39113333333333333,0.0008666666666666822,0.39113333333333333,0.0008666666666666822,0.812872876111111,0.0006324638888888789
4,CLIP,SVC,nlmeans,0.43676666666666664,0.0019666666666666444,0.43676666666666664,0.001966666666666672,0.8538133894444444,0.002015946111111111
5,CLIP,SVC,mean,0.36046666666666666,0.00013333333333331865,0.36046666666666666,0.00013333333333331865,0.7757590011111111,4.500444444449636e-05
6,CLIP,SVC,none,0.24280000000000002,0.00233333333333334,0.24280000000000002,0.00233333333333334,0.5754246927777777,0.0023060927777777684
7,CLIP,SVC,cross,0.2587,9.999999999998899e-05,0.25870000000000004,9.999999999998899e-05,0.5975625266666666,0.0014119377777777609
0,PATCH-FFT-PEAKS,RandomForestClassifier,access,0.9963333333333333,0.0010666666666666602,0.9963333333333334,0.0010666666666666602,0.9999780247222223,7.240277777820214e-06
1,PATCH-FFT-PEAKS,RandomForestClassifier,mean,0.9963333333333333,0.0010000000000000009,0.9963333333333333,0.0010000000000000009,0.9999743969444445,5.918055555609314e-06
2,PATCH-FFT-PEAKS,RandomForestClassifier,gaussian,0.9958,0.0007333333333333636,0.9958,0.0007333333333333636,0.9999738327777778,4.221111111091247e-06
3,PATCH-FFT-PEAKS,RandomForestClassifier,matthias,0.9722999999999999,0.001233333333333364,0.9723000000000002,0.001233333333333253,0.9991139486111111,2.9530555555878912e-06
