feat,classifier,filter,bcc_mean,bcc_std,auc_mean,auc_std
PATCH-FFT-PEAKS,IsolationForest,nlmeans,0.8265,0.0062083333333333,0.8725792986111112,0.0108793263888888
PATCH-FFT-PEAKS,IsolationForest,matthias,0.8311875000000001,0.0057291666666666,0.9024494652777778,0.0108141041666667
PATCH-FFT-PEAKS,IsolationForest,cross,0.8217708333333333,0.0040624999999999,0.882739861111111,0.0028208055555555
PATCH-FFT-PEAKS,IsolationForest,pmap,0.7288541666666667,0.0233541666666666,0.7688925833333333,0.0177070833333333
PATCH-FFT-PEAKS,IsolationForest,none,0.806,0.0069166666666666,0.8495976597222221,0.0091036874999999
PATCH-FFT-PEAKS,OneClassSVM,nlmeans,0.8319583333333334,0.0004999999999999,0.8043479166666667,0.0059125833333333
PATCH-FFT-PEAKS,OneClassSVM,access,0.8263958333333333,0.0435208333333333,0.8749781180555556,0.0403794375
PATCH-FFT-PEAKS,OneClassSVM,matthias,0.8478333333333333,0.00175,0.9127048541666668,0.0101427708333334
PATCH-FFT-PEAKS,OneClassSVM,gaussian,0.7918541666666667,0.0423125,0.8289518055555556,0.0512801388888888
PATCH-FFT-PEAKS,OneClassSVM,mean,0.7494791666666667,0.0217291666666666,0.8109824583333334,0.0354503749999999
PATCH-FFT-PEAKS,OneClassSVM,pmap,0.696375,0.0279583333333333,0.7256334305555556,0.0596658472222222
PATCH-FFT-PEAKS,OneClassSVM,cross,0.53,0.0137916666666666,0.5272993194444444,0.0169877916666666
PATCH-FFT-PEAKS,OneClassSVM,none,0.5299375000000001,0.0137291666666666,0.5272762222222223,0.016985
PATCH-FFT-PEAKS,PCA,access,0.8638958333333333,0.0008958333333333,0.9261158611111112,0.0110276944444444
PATCH-FFT-PEAKS,PCA,mean,0.8498541666666667,0.0193124999999999,0.9200273055555556,0.0167809166666667
PATCH-FFT-PEAKS,PCA,gaussian,0.8227291666666667,0.0016875,0.9003445555555556,0.0036776111111112
PATCH-FFT-PEAKS,PCA,nlmeans,0.8367916666666667,0.0080833333333333,0.8083144513888889,0.0111670624999999
PATCH-FFT-PEAKS,PCA,matthias,0.8434791666666666,0.0083958333333333,0.8581270347222223,0.0398109652777777
PATCH-FFT-PEAKS,PCA,pmap,0.6541250000000001,0.0090416666666666,0.67455775,0.0041193333333333
PATCH-FFT-PEAKS,PCA,none,0.5256666666666667,0.000875,0.5247509444444445,0.0037229722222221
PATCH-FFT-PEAKS,PCA,cross,0.5355208333333333,0.0003125,0.5444289583333333,0.0036287916666666
