,feat,classifier,filter,bcc_mean,bcc_std,auc_mean,auc_std
6,GLCM,IsolationForest,nlmeans,0.7724,0.025933333333333253,0.9200885933333334,0.005057151666666648
7,GLCM,IsolationForest,gaussian,0.6305000000000001,0.01923333333333338,0.8211505180555555,0.0007854525000000612
0,GLCM,OneClassSVM,nlmeans,0.5612666666666666,0.029866666666666708,0.7962795872222221,0.01380055611111114
1,GLCM,OneClassSVM,matthias,0.43446666666666667,0.001266666666666666,0.7778058427777779,0.00023498722222220492
2,GLCM,OneClassSVM,gaussian,0.48636666666666667,0.003966666666666674,0.7617727927777778,0.003205938333333269
3,GLCM,OneClassSVM,access,0.49666666666666665,0.004666666666666652,0.783525545,0.0059915672222221605
4,GLCM,OneClassSVM,cross,0.28490000000000004,0.008633333333333298,0.5342105561111111,0.0011963161111111509
5,GLCM,OneClassSVM,none,0.26233333333333336,0.006466666666666676,0.5218901016666667,0.0011837583333332846
6,GLCM,OneClassSVM,pmap,0.5389666666666666,0.00336666666666674,0.7962499744444445,0.0040673888888888565
7,GLCM,OneClassSVM,mean,0.4856333333333333,3.333333333332966e-05,0.7735716866666668,0.004668667777777746
0,GLCM,PCA,pmap,0.6112333333333333,0.007433333333333292,0.7535921027777778,0.005337495000000025
1,GLCM,PCA,nlmeans,0.7524,0.034999999999999976,0.8517693933333333,0.010291816666666675
2,GLCM,PCA,matthias,0.7104333333333334,0.005033333333333334,0.8020169422222222,0.018557339999999978
3,GLCM,PCA,none,0.2258,0.018400000000000027,0.5170318372222222,0.0009997150000000676
4,GLCM,PCA,cross,0.2544666666666666,0.005266666666666628,0.5371315283333333,0.0007333405555555728
5,GLCM,PCA,gaussian,0.5606666666666666,0.00880000000000003,0.7449092638888889,0.004553896111111011
6,GLCM,PCA,access,0.6269666666666667,0.00596666666666662,0.77257406,0.00296545222222222
7,GLCM,PCA,mean,0.5538000000000001,0.0004666666666666708,0.7671118377777778,0.0010548444444443694
0,DINOV1,IsolationForest,none,0.5168666666666666,0.017600000000000005,0.7132547427777778,0.0011038072222221418
1,DINOV1,IsolationForest,gaussian,0.6066333333333334,0.017366666666666586,0.8044402466666667,0.004460653333333342
2,DINOV1,IsolationForest,cross,0.5277999999999999,0.019266666666666654,0.7530934911111111,0.0026952577777777376
3,DINOV1,IsolationForest,matthias,0.7273,0.00556666666666672,0.8004954630555555,0.0041515458333333255
4,DINOV1,IsolationForest,pmap,0.7557333333333334,0.0242,0.8797413427777778,0.01859569166666669
5,DINOV1,IsolationForest,access,0.637,0.018199999999999994,0.7943848894444444,0.004636918333333351
6,DINOV1,IsolationForest,nlmeans,0.7751999999999999,0.010000000000000009,0.9079301666666666,0.00500181444444453
7,DINOV1,IsolationForest,mean,0.5886,0.0338,0.8024750977777777,0.00582191444444452
0,DINOV1,OneClassSVM,cross,0.6136999999999999,0.014566666666666672,0.7495885166666667,0.00451586111111113
1,DINOV1,OneClassSVM,gaussian,0.6990666666666666,0.002066666666666661,0.8187269905555555,0.006015929444444512
2,DINOV1,OneClassSVM,pmap,0.6778333333333333,0.04496666666666665,0.8161325244444446,0.006062327777777765
3,DINOV1,OneClassSVM,nlmeans,0.6905,0.03363333333333329,0.82220873,0.0009794844444444561
4,DINOV1,OneClassSVM,mean,0.6990333333333333,0.00983333333333336,0.8107261777777778,0.007233770000000028
5,DINOV1,OneClassSVM,matthias,0.3580333333333333,0.019099999999999978,0.6607044338888889,0.0014757894444444863
6,DINOV1,OneClassSVM,access,0.6549,0.004233333333333367,0.7867749505555556,0.004954905000000065
7,DINOV1,OneClassSVM,none,0.6456999999999999,0.02789999999999998,0.7330962694444444,0.0033083161111110426
0,DINOV1,PCA,matthias,0.8742666666666665,0.013600000000000001,0.8208709916666668,0.0042937238888888785
1,DINOV1,PCA,nlmeans,0.8735666666666666,0.03849999999999987,0.9153694911111111,0.006847812222222305
2,DINOV1,PCA,access,0.945,0.0029333333333333433,0.9271621677777778,0.007531492222222158
3,DINOV1,PCA,mean,0.9429333333333333,0.012666666666666604,0.9437671877777778,0.0013271500000000547
4,DINOV1,PCA,pmap,0.9305666666666667,0.02510000000000001,0.8879514150000001,0.004373187222222297
5,DINOV1,PCA,cross,0.9186666666666666,0.03973333333333329,0.9082206977777778,0.007526135555555646
6,DINOV1,PCA,gaussian,0.9449333333333334,0.012333333333333307,0.9432035738888889,0.0058708561111111
7,DINOV1,PCA,none,0.9107333333333334,0.03973333333333323,0.8944787911111112,0.00981969444444436
0,DINOV2,IsolationForest,cross,0.45763333333333334,0.019699999999999995,0.6711001016666667,0.000173348333333323
1,DINOV2,IsolationForest,none,0.5030666666666668,0.018866666666666643,0.6769856061111111,0.004879781666666694
2,DINOV2,IsolationForest,matthias,0.5175000000000001,0.04889999999999999,0.7743749916666667,0.006711673888888825
3,DINOV2,IsolationForest,nlmeans,0.7020333333333333,0.03496666666666659,0.8654289388888887,0.007557083333333325
4,DINOV2,IsolationForest,gaussian,0.6562666666666667,0.018000000000000016,0.8276434372222223,0.008569694999999988
5,DINOV2,IsolationForest,mean,0.5616333333333334,0.0203666666666667,0.7749818972222222,0.005508569444444389
6,DINOV2,IsolationForest,access,0.639,0.003666666666666707,0.8150361822222222,0.010380390000000017
7,DINOV2,IsolationForest,pmap,0.6820999999999999,0.01810000000000006,0.8124238944444444,0.012193341111111089
0,DINOV2,OneClassSVM,cross,0.6432,0.001333333333333353,0.676235598888889,0.0012715566666666733
1,DINOV2,OneClassSVM,nlmeans,0.5326,0.030866666666666653,0.7699813355555556,0.008422661111111118
2,DINOV2,OneClassSVM,gaussian,0.5412333333333333,0.0038333333333333552,0.7747173383333333,0.005186529444444421
3,DINOV2,OneClassSVM,mean,0.5806666666666667,0.0005333333333333301,0.734417318888889,0.0034509799999999924
4,DINOV2,OneClassSVM,none,0.6382333333333333,0.006433333333333291,0.6782841566666666,0.0004577677777777289
5,DINOV2,OneClassSVM,access,0.47053333333333336,0.005600000000000049,0.7573123694444445,0.00017610944444446108
